id,product_id,store_id,current_stock,reorder_level,expiry_date,last_updated,created_at,recent_units,previous_units,avg_daily_sales,sales_change_pct,days_of_stock,return_rate,days_to_expiry,issue_type,severity,explanation
3de83b73-fc97-48e1-9bdf-e3ff0a65ddd5,PRD-0071,HYD-002,23,8,,2024-12-25,2024-01-01 08:00:00,1,1.0,0.03333333333333333,0.0,690.0,0.0,,STAGNANT_SALES,MEDIUM,Sales volume is consistently low
76f7eb6e-4569-4b08-b5fa-34d7e2e6d0c6,PRD-0070,AHM-002,15,8,,2024-12-31,2024-01-01 08:00:00,1,0.0,0.03333333333333333,100.0,450.0,0.0,,STAGNANT_SALES,MEDIUM,Sales volume is consistently low
f5390bc4-7460-4691-a736-8c8c1af91b6b,PRD-0066,JAI-001,26,8,,2024-12-27,2024-01-01 08:00:00,1,0.0,0.03333333333333333,100.0,780.0,0.0,,STAGNANT_SALES,MEDIUM,Sales volume is consistently low
1891a853-5a59-47ad-ad92-c15424c91d6f,PRD-0006,MUM-001,218,245,2025-03-06,2024-12-27,2024-01-01 08:00:00,698,524.0,23.266666666666666,33.20610687022901,9.369627507163324,0.0028653295128939827,-361.0,LOW_STOCK,HIGH,Stock level is below reorder threshold or will run out soon
8205c71d-1cda-4982-90e5-22a63d994ba3,PRD-0014,MUM-001,180,245,2025-11-22,2024-12-27,2024-01-01 08:00:00,614,474.0,20.466666666666665,29.535864978902953,8.794788273615636,0.0,-100.0,LOW_STOCK,HIGH,Stock level is below reorder threshold or will run out soon
90ea1f6c-e48b-46c4-a052-e7f640b78152,PRD-0022,MUM-001,132,175,2025-01-04,2024-12-25,2024-01-01 08:00:00,309,232.0,10.3,33.189655172413794,12.815533980582524,0.0,-422.0,LOW_STOCK,HIGH,Stock level is below reorder threshold or will run out soon
e4f02b61-7c07-412a-bbac-0452a26b6420,PRD-0025,MUM-001,130,175,2025-01-05,2024-12-26,2024-01-01 08:00:00,542,470.0,18.066666666666666,15.319148936170212,7.195571955719557,0.0,-421.0,LOW_STOCK,HIGH,Stock level is below reorder threshold or will run out soon
035e3221-42e6-423c-bc35-0684eba4ea19,PRD-0026,MUM-001,128,175,2025-01-16,2024-12-25,2024-01-01 08:00:00,407,375.0,13.566666666666666,8.533333333333333,9.434889434889435,0.007371007371007371,-410.0,LOW_STOCK,HIGH,Stock level is below reorder threshold or will run out soon
83e55424-9321-492c-8e7f-b6783d02534c,PRD-0031,MUM-001,109,140,2025-01-30,2024-12-28,2024-01-01 08:00:00,370,340.0,12.333333333333334,8.823529411764707,8.837837837837837,0.0,-396.0,LOW_STOCK,HIGH,Stock level is below reorder threshold or will run out soon
d36f38ef-f893-4275-94e9-b7f412f492d0,PRD-0042,MUM-001,62,280,2025-01-02,2024-12-26,2024-01-01 08:00:00,595,464.0,19.833333333333332,28.23275862068966,3.1260504201680672,0.0016806722689075631,-424.0,LOW_STOCK,HIGH,Stock level is below reorder threshold or will run out soon
77e2ed7a-128d-4c17-a561-b503328030ad,PRD-0043,MUM-001,210,280,2025-01-02,2024-12-25,2024-01-01 08:00:00,1021,827.0,34.03333333333333,23.458282950423218,6.170421155729677,0.0019588638589618022,-424.0,LOW_STOCK,HIGH,Stock level is below reorder threshold or will run out soon
52193e13-7938-4e3f-ba08-291b431ea53c,PRD-0060,MUM-001,53,56,2026-07-12,2024-12-28,2024-01-01 08:00:00,118,82.0,3.933333333333333,43.90243902439025,13.474576271186441,0.00847457627118644,132.0,LOW_STOCK,HIGH,Stock level is below reorder threshold or will run out soon
cc2d79ac-32d5-459c-8207-12ff7f9ec207,PRD-0085,MUM-001,20,28,,2024-12-31,2024-01-01 08:00:00,85,59.0,2.8333333333333335,44.06779661016949,7.0588235294117645,0.011764705882352941,,LOW_STOCK,HIGH,Stock level is below reorder threshold or will run out soon
6bc9a308-ad19-4e6d-9d27-b9b33e898765,PRD-0086,MUM-001,28,28,,2024-12-30,2024-01-01 08:00:00,59,46.0,1.9666666666666666,28.26086956521739,14.237288135593221,0.0,,LOW_STOCK,HIGH,Stock level is below reorder threshold or will run out soon
febafde4-0219-4f1d-947d-36a78320090e,PRD-0089,MUM-001,25,28,,2024-12-29,2024-01-01 08:00:00,102,76.0,3.4,34.21052631578947,7.352941176470589,0.0392156862745098,,LOW_STOCK,HIGH,Stock level is below reorder threshold or will run out soon
